# Name,# Value,# Unit,,,,,,,,,
# Temperature,130,K,,,,,,,,,
# Channel Width,3.00E-03,m,,,,,,,,,
# Channel Length,3.30E-04,m,,,,,,,,,
# Channel Thickness,1.00E-08,m,,,,,,,,,
# Dielectric Capacitance,8.70E-04,F m^{-2},,,,,,,,,
,,,,,,,,,,,
# Voltage (V),# Conductance (S),# Conductance (S),# Seebeck (V K^{-1}),# Seebeck (V K^{-1}),,,,,,,
-60,2.76E-06,2.76E-06,1.63E-05,1.64E-05,,,,,,,
-50,2.68E-06,2.73E-06,1.51E-05,1.60E-05,,,,,,,
-40,2.61E-06,2.70E-06,1.39E-05,1.54E-05,,,,,,,
-30,2.54E-06,2.65E-06,1.20E-05,1.48E-05,,,,,,,
-20,2.47E-06,2.58E-06,8.68E-06,1.33E-05,,,,,,,
-10,2.42E-06,2.48E-06,2.58E-06,1.01E-05,,,,,,,
0,2.49E-06,2.41E-06,-4.49E-06,2.10E-06,,,,,,,
10,2.60E-06,2.51E-06,-8.08E-06,-5.34E-06,,,,,,,
20,2.68E-06,2.62E-06,-9.25E-06,-8.05E-06,,,,,,,
30,2.73E-06,2.69E-06,-9.52E-06,-8.95E-06,,,,,,,
40,2.77E-06,2.74E-06,-9.62E-06,-9.19E-06,,,,,,,
50,2.80E-06,2.78E-06,-9.62E-06,-9.35E-06,,,,,,,
60,2.82E-06,2.85E-06,-9.58E-06,-9.55E-06,,,,,,,
# Scale,1,1,1,1,,,,,,,
# Initial Value,0,0,0,0,,,,,,,
# Lower Bound,-20,-20,-20,-20,,,,,,,
# Upper Bound,20,20,20,20,,,,,,,
# Unit,V,V,V,V,,,,,,,
