# Name,# Value,# Unit,,,,,
# Temperature,170,K,,,,,
# Channel Width,3.00E-03,m,,,,,
# Channel Length,3.30E-04,m,,,,,
# Channel Thickness,1.00E-08,m,,,,,
# Dielectric Capacitance,8.70E-04,F m^{-2},,,,,
,,,,,,,
# Voltage (V),# Conductance (S),# Conductance (S),# Seebeck (V K^{-1}),# Seebeck (V K^{-1}),,,
-60,7.26E-06,7.27E-06,1.89E-05,1.90E-05,,,
-50,7.11E-06,7.23E-06,1.77E-05,1.86E-05,,,
-40,6.98E-06,7.16E-06,1.64E-05,1.80E-05,,,
-30,6.83E-06,7.07E-06,1.45E-05,1.71E-05,,,
-20,6.67E-06,6.94E-06,1.10E-05,1.55E-05,,,
-10,6.57E-06,6.72E-06,5.39E-06,1.22E-05,,,
0,6.72E-06,6.54E-06,-1.93E-07,6.50E-06,,,
10,6.98E-06,6.73E-06,-3.01E-06,1.37E-06,,,
20,7.16E-06,6.99E-06,-3.96E-06,-1.13E-06,,,
30,7.27E-06,7.16E-06,-4.12E-06,-1.97E-06,,,
40,7.35E-06,7.27E-06,-4.09E-06,-2.47E-06,,,
50,7.40E-06,7.35E-06,-3.98E-06,-2.91E-06,,,
60,7.43E-06,7.51E-06,-3.69E-06,-3.34E-06,,,
# Scale,1,1,1,1,,,
# Initial Value,0,0,0,0,,,
# Lower Bound,-20,-20,-20,-20,,,
# Upper Bound,20,20,20,20,,,
# Unit,V,V,V,V,,,
