# Name,# Value,# Unit,,,,,,
# Temperature,190,K,,,,,,
# Channel Width,3.00E-03,m,,,,,,
# Channel Length,3.30E-04,m,,,,,,
# Channel Thickness,1.00E-08,m,,,,,,
# Dielectric Capacitance,8.70E-04,F m^{-2},,,,,,
,,,,,,,,
# Voltage (V),# Conductance (S),# Conductance (S),# Seebeck (V K^{-1}),# Seebeck (V K^{-1}),,,,
-60,1.06E-05,1.06E-05,1.62E-05,1.63E-05,,,,
-50,1.04E-05,1.05E-05,1.47E-05,1.56E-05,,,,
-40,1.02E-05,1.05E-05,1.29E-05,1.48E-05,,,,
-30,1.01E-05,1.04E-05,1.09E-05,1.38E-05,,,,
-20,9.85E-06,1.02E-05,7.96E-06,1.22E-05,,,,
-10,9.72E-06,9.93E-06,4.47E-06,1.01E-05,,,,
0,9.88E-06,9.70E-06,1.49E-06,7.65E-06,,,,
10,1.02E-05,9.89E-06,-2.18E-07,5.40E-06,,,,
20,1.04E-05,1.02E-05,-7.83E-07,3.81E-06,,,,
30,1.06E-05,1.04E-05,-8.43E-07,2.81E-06,,,,
40,1.07E-05,1.06E-05,-8.70E-07,2.06E-06,,,,
50,1.08E-05,1.07E-05,-6.66E-07,1.35E-06,,,,
60,1.08E-05,1.08E-05,-2.81E-07,4.43E-07,,,,
# Scale,1,1,1,1,,,,
# Initial Value,0,0,0,0,,,,
# Lower Bound,-20,-20,-20,-20,,,,
# Upper Bound,20,20,20,20,,,,
# Unit,V,V,V,V,,,,
